country,time,c_dirdemo_idea
cmr,1991,-0.51216
cmr,1992,0.85361
cmr,1993,0
cmr,1994,0
cmr,1995,0
cmr,1996,0
cmr,1997,0
cmr,1998,0
cmr,1999,0
cmr,2000,0
cmr,2001,0
cmr,2002,0
cmr,2003,0
cmr,2004,0
cmr,2005,0
cmr,2006,0
cmr,2007,0
cmr,2008,0
cmr,2009,0
cmr,2010,0
cmr,2011,0
cmr,2012,0
cmr,2013,0
cmr,2014,0
cmr,2015,0
cmr,2016,0
cmr,2017,0
cmr,2018,0
cmr,2019,0
cod,1976,-0.81093
cod,1977,0.12804
cod,1978,-0.51216
cod,1979,-0.51216
cod,1980,-0.51216
cod,1981,-0.51216
cod,1982,-0.85361
cod,1983,-0.81093
cod,1984,0.12804
cod,1985,-0.51216
cod,1986,-0.51216
cod,1987,7.68246
cod,1988,0
cod,1989,-0.34144
cod,1990,-8.83483
cod,1991,-4.95092
cod,1992,0
cod,1993,0
cod,1994,0
cod,1995,0
cod,1996,0
cod,1997,0
cod,1998,0
cod,1999,0
cod,2000,0
cod,2001,0
cod,2002,0
cod,2003,0
cod,2004,0
cod,2005,0
cod,2006,0
cod,2007,12.88946
cod,2008,0
cod,2009,0
cod,2010,-0.68289
cod,2011,-0.59752
cod,2012,-0.68289
cod,2013,-0.68289
cod,2014,-0.68289
cod,2015,-0.68289
cod,2016,-0.68289
cod,2017,-0.68289
cod,2018,-0.68289
cod,2019,-0.68289
cog,1976,0
cog,1977,-8.53606
cog,1978,0
cog,1979,0
cog,1980,8.53606
cog,1981,0
cog,1982,0
cog,1983,0
cog,1984,-0.51216
cog,1985,-0.51216
cog,1986,-0.51216
cog,1987,-0.51216
cog,1988,-0.51216
cog,1989,-0.51216
cog,1990,-0.51216
cog,1991,-0.51216
cog,1992,22.83397
cog,1993,0
cog,1994,0
cog,1995,0
cog,1996,0
cog,1997,-27.27273
cog,1998,0
cog,1999,0
cog,2000,0
cog,2001,0
cog,2002,22.10841
cog,2003,-1.02433
cog,2004,-1.02433
cog,2005,-1.02433
cog,2006,-1.02433
cog,2007,-1.70721
cog,2008,-1.62185
cog,2009,-1.70721
cog,2010,-1.70721
cog,2011,-1.70721
cog,2012,-0.68289
cog,2013,-0.68289
cog,2014,-0.68289
cog,2015,5.37772
cog,2016,0
cog,2017,0
cog,2018,0
cog,2019,0
col,1976,0
col,1977,0
col,1978,0
col,1979,0
col,1980,0
col,1981,0
col,1982,0
col,1983,0
col,1984,0
col,1985,0
col,1986,0
col,1987,0
col,1988,0
col,1989,0
col,1990,12.8041
col,1991,17.15749
col,1992,0
col,1993,0
col,1994,0
col,1995,-1.53649
col,1996,-1.40845
col,1997,-1.53649
col,1998,-1.53649
col,1999,-1.40845
col,2000,-1.53649
col,2001,-1.40845
col,2002,-1.53649
col,2003,9.47503
col,2004,0
col,2005,0
col,2006,0
col,2007,0
col,2008,-2.56082
col,2009,-2.43278
col,2010,-2.56082
col,2011,-2.43278
col,2012,-2.43278
col,2013,-2.56082
col,2014,-2.43278
col,2015,-2.8169
col,2016,20.35851
col,2017,-0.51216
col,2018,0
col,2019,0
cpv,1976,0
cpv,1977,0
cpv,1978,0
cpv,1979,0
cpv,1980,0
cpv,1981,0
cpv,1982,0
cpv,1983,0
cpv,1984,0
cpv,1985,0
cpv,1986,0
cpv,1987,0
cpv,1988,0
cpv,1989,0
cpv,1990,0
cpv,1991,0
cpv,1992,7.8105
cpv,1993,0
cpv,1994,0.12804
cpv,1995,0
cpv,1996,0
cpv,1997,0
cpv,1998,0
cpv,1999,0
cpv,2000,0
cpv,2001,0
cpv,2002,0
cpv,2003,0.12804
cpv,2004,0
cpv,2005,0
cpv,2006,0
cpv,2007,0
cpv,2008,0
cpv,2009,0
cpv,2010,0
cpv,2011,0
cpv,2012,0
cpv,2013,0
cpv,2014,0
cpv,2015,0
cpv,2016,0
cpv,2017,0
cpv,2018,0
cpv,2019,0
cri,1976,0
cri,1977,0
cri,1978,0
cri,1979,0
cri,1980,0
cri,1981,0
cri,1982,0
cri,1983,0
cri,1984,0
cri,1985,0
cri,1986,0
cri,1987,0
cri,1988,0
cri,1989,0
cri,1990,0
cri,1991,0
cri,1992,0
cri,1993,0
cri,1994,0
cri,1995,0
cri,1996,0
cri,1997,0
cri,1998,0
cri,1999,0
cri,2000,0
cri,2001,0
cri,2002,9.85915
cri,2003,0
cri,2004,0
cri,2005,0
cri,2006,-0.76825
cri,2007,22.02305
cri,2008,0
cri,2009,0
cri,2010,0
cri,2011,0
cri,2012,-1.40845
cri,2013,-1.53649
cri,2014,-1.40845
cri,2015,-1.53649
cri,2016,-1.40845
cri,2017,-1.53649
cri,2018,-1.40845
cri,2019,-1.53649
cub,1976,0
cub,1977,0
cub,1978,0
cub,1979,0
cub,1980,0
cub,1981,0
cub,1982,0
cub,1983,0
cub,1984,0
cub,1985,0
cub,1986,0
cub,1987,0
cub,1988,0
cub,1989,0
cub,1990,0
cub,1991,0
cub,1992,0
cub,1993,0
cub,1994,1.92061
cub,1995,-0.51216
cub,1996,0
cub,1997,0
cub,1998,0
cub,1999,0
cub,2000,0
cub,2001,0
cub,2002,0
cub,2003,0
cub,2004,0
cub,2005,0
cub,2006,0
cub,2007,0
cub,2008,0
cub,2009,0
cub,2010,0
cub,2011,0
cub,2012,0
cub,2013,0
