country,time,u5stunted_prc
tcd,1998,44.63297
tcd,1999,44.64568
tcd,2000,44.6584
tcd,2001,44.67112
tcd,2002,44.68384
tcd,2003,44.69657
tcd,2004,44.7093
tcd,2005,43.75627
tcd,2006,42.82355
tcd,2007,41.91072
tcd,2008,41.01735
tcd,2009,40.14301
tcd,2010,39.28732
tcd,2011,39.4863
tcd,2012,39.68629
tcd,2013,39.8873
tcd,2014,40.08932
tha,2005,15.74124
tha,2006,15.81817
tha,2007,15.89548
tha,2008,15.97317
tha,2009,16.05123
tha,2010,16.12968
tha,2011,16.20851
tha,2012,16.28773
tha,2013,14.1083
tha,2014,12.22049
tha,2015,10.58529
tjk,2005,33.07045
tjk,2006,32.10933
tjk,2007,31.17615
tjk,2008,30.27008
tjk,2009,29.39035
tjk,2010,28.53619
tjk,2011,27.70685
tjk,2012,26.90161
tjk,2013,24.68866
tjk,2014,22.65775
tjk,2015,20.79391
tjk,2016,19.08338
tjk,2017,17.51357
tza,1996,49.49245
tza,1997,49.06776
tza,1998,48.64671
tza,1999,48.22927
tza,2000,47.41422
tza,2001,46.61295
tza,2002,45.82521
tza,2003,45.05079
tza,2004,44.28946
tza,2005,43.93412
tza,2006,43.58163
tza,2007,43.23197
tza,2008,42.88511
tza,2009,42.54104
tza,2010,42.19973
tza,2011,40.53391
tza,2012,38.93385
tza,2013,37.39696
tza,2014,35.92073
tza,2015,34.50277
uga,1995,44.99453
uga,1996,44.87775
uga,1997,44.76127
uga,1998,44.64509
uga,1999,44.52921
uga,2000,44.41364
uga,2001,43.28444
uga,2002,42.18396
uga,2003,41.11145
uga,2004,40.06621
uga,2005,39.04755
uga,2006,38.05478
uga,2007,37.1107
uga,2008,36.19004
uga,2009,35.29223
uga,2010,34.41668
uga,2011,33.56286
uga,2012,32.5716
uga,2013,31.60961
uga,2014,30.67604
uga,2015,29.77004
uga,2016,28.8908
zmb,1996,48.56297
zmb,1997,49.33643
zmb,1998,50.1222
zmb,1999,50.92049
zmb,2000,51.7315
zmb,2001,52.55542
zmb,2002,51.28823
zmb,2003,50.05159
zmb,2004,48.84478
zmb,2005,47.66706
zmb,2006,46.51773
zmb,2007,45.39612
zmb,2008,44.45837
zmb,2009,43.53998
zmb,2010,42.64057
zmb,2011,41.75974
zmb,2012,40.89711
zmb,2013,40.05229
zwe,1999,32.40062
zwe,2000,32.75473
zwe,2001,33.1127
zwe,2002,33.47459
zwe,2003,33.84043
zwe,2004,34.21028
zwe,2005,34.58416
zwe,2006,34.71218
zwe,2007,34.84068
zwe,2008,34.96965
zwe,2009,35.0991
zwe,2010,32.20553
zwe,2011,30.98323
zwe,2012,29.80732
zwe,2013,28.67604
zwe,2014,27.5877
zwe,2015,27.11531
